Initial Investment:		1
Recurring Monthly Investment:	1
Start Month:			1
Start Year:			1
End Month:			12
End Year:			10000
Annual Rate of Return (%):	1
--- Output ---
5771.10) */*/*/*%
5771.11) */*/*/*%
5771.12) */*/*/*%
5772.01) */*/*/*%
5772.02) */*/*/*%
5772.03) */*/*/*%
5772.04) */*/*/*%
5772.05) */*/*/*%
5772.06) */*/*/*%
5772.07) */*/*/*%
5772.08) */*/*/*%
5772.09) */*/*/*%
5772.10) */*/*/*%
5772.11) */*/*/*%
5772.12) */*/*/*%
5773.01) */*/*/*%
5773.02) */*/*/*%
5773.03) */*/*/*%
5773.04) */*/*/*%
5773.05) */*/*/*%
5773.06) */*/*/*%
5773.07) */*/*/*%
5773.08) */*/*/*%
5773.09) */*/*/*%
5773.10) */*/*/*%
5773.11) */*/*/*%
5773.12) */*/*/*%
5774.01) */*/*/*%
5774.02) */*/*/*%
5774.03) */*/*/*%
5774.04) */*/*/*%
5774.05) */*/*/*%
5774.06) */*/*/*%
5774.07) */*/*/*%
5774.08) */*/*/*%
5774.09) */*/*/*%
5774.10) */*/*/*%
5774.11) */*/*/*%
5774.12) */*/*/*%
5775.01) */*/*/*%
5775.02) */*/*/*%
5775.03) */*/*/*%
5775.04) */*/*/*%
5775.05) */*/*/*%
5775.06) */*/*/*%
5775.07) */*/*/*%
5775.08) */*/*/*%
5775.09) */*/*/*%
5775.10) */*/*/*%
5775.11) */*/*/*%
5775.12) */*/*/*%
5776.01) */*/*/*%
5776.02) */*/*/*%
5776.03) */*/*/*%
5776.04) */*/*/*%
5776.05) */*/*/*%
5776.06) */*/*/*%
5776.07) */*/*/*%
5776.08) */*/*/*%
5776.09) */*/*/*%
5776.10) */*/*/*%
5776.11) */*/*/*%
5776.12) */*/*/*%
5777.01) */*/*/*%
5777.02) */*/*/*%
5777.03) */*/*/*%
5777.04) */*/*/*%
5777.05) */*/*/*%
5777.06) */*/*/*%
5777.07) */*/*/*%
5777.08) */*/*/*%
5777.09) */*/*/*%
5777.10) */*/*/*%
5777.11) */*/*/*%
5777.12) */*/*/*%
5778.01) */*/*/*%
5778.02) */*/*/*%
5778.03) */*/*/*%
5778.04) */*/*/*%
5778.05) */*/*/*%
5778.06) */*/*/*%
5778.07) */*/*/*%
5778.08) */*/*/*%
5778.09) */*/*/*%
5778.10) */*/*/*%
5778.11) */*/*/*%
5778.12) */*/*/*%
5779.01) */*/*/*%
5779.02) */*/*/*%
5779.03) */*/*/*%
5779.04) */*/*/*%
5779.05) */*/*/*%
5779.06) */*/*/*%
5779.07) */*/*/*%
5779.08) */*/*/*%
5779.09) */*/*/*%
5779.10) */*/*/*%
5779.11) */*/*/*%
5779.12) */*/*/*%
5780.01) */*/*/*%
5780.02) */*/*/*%
5780.03) */*/*/*%
5780.04) */*/*/*%
5780.05) */*/*/*%
5780.06) */*/*/*%
5780.07) */*/*/*%
5780.08) */*/*/*%
5780.09) */*/*/*%
5780.10) */*/*/*%
5780.11) */*/*/*%
5780.12) */*/*/*%
5781.01) */*/*/*%
5781.02) */*/*/*%
5781.03) */*/*/*%
5781.04) */*/*/*%
5781.05) */*/*/*%
5781.06) */*/*/*%
5781.07) */*/*/*%
5781.08) */*/*/*%
5781.09) */*/*/*%
5781.10) */*/*/*%
5781.11) */*/*/*%
5781.12) */*/*/*%
5782.01) */*/*/*%
5782.02) */*/*/*%
5782.03) */*/*/*%
5782.04) */*/*/*%
5782.05) */*/*/*%
5782.06) */*/*/*%
5782.07) */*/*/*%
5782.08) */*/*/*%
5782.09) */*/*/*%
5782.10) */*/*/*%
5782.11) */*/*/*%
5782.12) */*/*/*%
5783.01) */*/*/*%
5783.02) */*/*/*%
5783.03) */*/*/*%
5783.04) */*/*/*%
5783.05) */*/*/*%
5783.06) */*/*/*%
5783.07) */*/*/*%
5783.08) */*/*/*%
5783.09) */*/*/*%
5783.10) */*/*/*%
5783.11) */*/*/*%
5783.12) */*/*/*%
5784.01) */*/*/*%
5784.02) */*/*/*%
5784.03) */*/*/*%
5784.04) */*/*/*%
5784.05) */*/*/*%
5784.06) */*/*/*%
5784.07) */*/*/*%
5784.08) */*/*/*%
5784.09) */*/*/*%
5784.10) */*/*/*%
5784.11) */*/*/*%
5784.12) */*/*/*%
5785.01) */*/*/*%
5785.02) */*/*/*%
5785.03) */*/*/*%
5785.04) */*/*/*%
5785.05) */*/*/*%
5785.06) */*/*/*%
5785.07) */*/*/*%
5785.08) */*/*/*%
5785.09) */*/*/*%
5785.10) */*/*/*%
5785.11) */*/*/*%
5785.12) */*/*/*%
5786.01) */*/*/*%
5786.02) */*/*/*%
5786.03) */*/*/*%
5786.04) */*/*/*%
5786.05) */*/*/*%
5786.06) */*/*/*%
5786.07) */*/*/*%
5786.08) */*/*/*%
5786.09) */*/*/*%
5786.10) */*/*/*%
5786.11) */*/*/*%
5786.12) */*/*/*%
5787.01) */*/*/*%
5787.02) */*/*/*%
5787.03) */*/*/*%
5787.04) */*/*/*%
5787.05) */*/*/*%
5787.06) */*/*/*%
5787.07) */*/*/*%
5787.08) */*/*/*%
5787.09) */*/*/*%
5787.10) */*/*/*%
5787.11) */*/*/*%
5787.12) */*/*/*%
5788.01) */*/*/*%
5788.02) */*/*/*%
5788.03) */*/*/*%
5788.04) */*/*/*%
5788.05) */*/*/*%
5788.06) */*/*/*%
5788.07) */*/*/*%
5788.08) */*/*/*%
5788.09) */*/*/*%
5788.10) */*/*/*%
5788.11) */*/*/*%
5788.12) */*/*/*%
5789.01) */*/*/*%
5789.02) */*/*/*%
5789.03) */*/*/*%
5789.04) */*/*/*%
5789.05) */*/*/*%
5789.06) */*/*/*%
5789.07) */*/*/*%
5789.08) */*/*/*%
5789.09) */*/*/*%
5789.10) */*/*/*%
5789.11) */*/*/*%
5789.12) */*/*/*%
5790.01) */*/*/*%
5790.02) */*/*/*%
5790.03) */*/*/*%
5790.04) */*/*/*%
5790.05) */*/*/*%
5790.06) */*/*/*%
5790.07) */*/*/*%
5790.08) */*/*/*%
5790.09) */*/*/*%
5790.10) */*/*/*%
5790.11) */*/*/*%
5790.12) */*/*/*%
5791.01) */*/*/*%
5791.02) */*/*/*%
5791.03) */*/*/*%
5791.04) */*/*/*%
5791.05) */*/*/*%
5791.06) */*/*/*%
5791.07) */*/*/*%
5791.08) */*/*/*%
5791.09) */*/*/*%
5791.10) */*/*/*%
5791.11) */*/*/*%
5791.12) */*/*/*%
5792.01) */*/*/*%
5792.02) */*/*/*%
5792.03) */*/*/*%
5792.04) */*/*/*%
5792.05) */*/*/*%
5792.06) */*/*/*%
5792.07) */*/*/*%
5792.08) */*/*/*%
5792.09) */*/*/*%
5792.10) */*/*/*%
5792.11) */*/*/*%
5792.12) */*/*/*%
5793.01) */*/*/*%
5793.02) */*/*/*%
5793.03) */*/*/*%
5793.04) */*/*/*%
5793.05) */*/*/*%
5793.06) */*/*/*%
5793.07) */*/*/*%
5793.08) */*/*/*%
5793.09) */*/*/*%
5793.10) */*/*/*%
5793.11) */*/*/*%
5793.12) */*/*/*%
5794.01) */*/*/*%
5794.02) */*/*/*%
5794.03) */*/*/*%
5794.04) */*/*/*%
5794.05) */*/*/*%
5794.06) */*/*/*%
5794.07) */*/*/*%
5794.08) */*/*/*%
5794.09) */*/*/*%
5794.10) */*/*/*%
5794.11) */*/*/*%
5794.12) */*/*/*%
5795.01) */*/*/*%
5795.02) */*/*/*%
5795.03) */*/*/*%
5795.04) */*/*/*%
5795.05) */*/*/*%
5795.06) */*/*/*%
5795.07) */*/*/*%
5795.08) */*/*/*%
5795.09) */*/*/*%
5795.10) */*/*/*%
5795.11) */*/*/*%
5795.12) */*/*/*%
5796.01) */*/*/*%
5796.02) */*/*/*%
5796.03) */*/*/*%
5796.04) */*/*/*%
5796.05) */*/*/*%
5796.06) */*/*/*%
5796.07) */*/*/*%
5796.08) */*/*/*%
5796.09) */*/*/*%
5796.10) */*/*/*%
5796.11) */*/*/*%
5796.12) */*/*/*%
5797.01) */*/*/*%
5797.02) */*/*/*%
5797.03) */*/*/*%
5797.04) */*/*/*%
5797.05) */*/*/*%
5797.06) */*/*/*%
5797.07) */*/*/*%
5797.08) */*/*/*%
5797.09) */*/*/*%
5797.10) */*/*/*%
5797.11) */*/*/*%
5797.12) */*/*/*%
5798.01) */*/*/*%
5798.02) */*/*/*%
5798.03) */*/*/*%
5798.04) */*/*/*%
5798.05) */*/*/*%
5798.06) */*/*/*%
5798.07) */*/*/*%
5798.08) */*/*/*%
5798.09) */*/*/*%
5798.10) */*/*/*%
5798.11) */*/*/*%
5798.12) */*/*/*%
5799.01) */*/*/*%
5799.02) */*/*/*%
5799.03) */*/*/*%
5799.04) */*/*/*%
5799.05) */*/*/*%
5799.06) */*/*/*%
5799.07) */*/*/*%
5799.08) */*/*/*%
5799.09) */*/*/*%
5799.10) */*/*/*%
5799.11) */*/*/*%
5799.12) */*/*/*%
5800.01) */*/*/*%
5800.02) */*/*/*%
5800.03) */*/*/*%
5800.04) */*/*/*%
5800.05) */*/*/*%
5800.06) */*/*/*%
5800.07) */*/*/*%
5800.08) */*/*/*%
5800.09) */*/*/*%
5800.10) */*/*/*%
5800.11) */*/*/*%
5800.12) */*/*/*%
5801.01) */*/*/*%
5801.02) */*/*/*%
5801.03) */*/*/*%
5801.04) */*/*/*%
5801.05) */*/*/*%
5801.06) */*/*/*%
5801.07) */*/*/*%
5801.08) */*/*/*%
5801.09) */*/*/*%
5801.10) */*/*/*%
5801.11) */*/*/*%
5801.12) */*/*/*%
5802.01) */*/*/*%
5802.02) */*/*/*%
5802.03) */*/*/*%
5802.04) */*/*/*%
5802.05) */*/*/*%
5802.06) */*/*/*%
5802.07) */*/*/*%
5802.08) */*/*/*%
5802.09) */*/*/*%
5802.10) */*/*/*%
5802.11) */*/*/*%
5802.12) */*/*/*%
5803.01) */*/*/*%
5803.02) */*/*/*%
5803.03) */*/*/*%
5803.04) */*/*/*%
5803.05) */*/*/*%
5803.06) */*/*/*%
5803.07) */*/*/*%
5803.08) */*/*/*%
5803.09) */*/*/*%
5803.10) */*/*/*%
5803.11) */*/*/*%
5803.12) */*/*/*%
5804.01) */*/*/*%
5804.02) */*/*/*%
5804.03) */*/*/*%
5804.04) */*/*/*%
5804.05) */*/*/*%
5804.06) */*/*/*%
5804.07) */*/*/*%
5804.08) */*/*/*%
5804.09) */*/*/*%
5804.10) */*/*/*%
5804.11) */*/*/*%
5804.12) */*/*/*%
5805.01) */*/*/*%
5805.02) */*/*/*%
5805.03) */*/*/*%
5805.04) */*/*/*%
5805.05) */*/*/*%
5805.06) */*/*/*%
5805.07) */*/*/*%
5805.08) */*/*/*%
5805.09) */*/*/*%
5805.10) */*/*/*%
5805.11) */*/*/*%
5805.12) */*/*/*%
5806.01) */*/*/*%
5806.02) */*/*/*%
5806.03) */*/*/*%
5806.04) */*/*/*%
5806.05) */*/*/*%
5806.06) */*/*/*%
5806.07) */*/*/*%
5806.08) */*/*/*%
5806.09) */*/*/*%
5806.10) */*/*/*%
5806.11) */*/*/*%
5806.12) */*/*/*%
5807.01) */*/*/*%
5807.02) */*/*/*%
5807.03) */*/*/*%
5807.04) */*/*/*%
5807.05) */*/*/*%
5807.06) */*/*/*%
5807.07) */*/*/*%
5807.08) */*/*/*%
5807.09) */*/*/*%
5807.10) */*/*/*%
5807.11) */*/*/*%
5807.12) */*/*/*%
5808.01) */*/*/*%
5808.02) */*/*/*%
5808.03) */*/*/*%
5808.04) */*/*/*%
5808.05) */*/*/*%
5808.06) */*/*/*%
5808.07) */*/*/*%
5808.08) */*/*/*%
5808.09) */*/*/*%
5808.10) */*/*/*%
5808.11) */*/*/*%
5808.12) */*/*/*%
5809.01) */*/*/*%
5809.02) */*/*/*%
5809.03) */*/*/*%
5809.04) */*/*/*%
5809.05) */*/*/*%
5809.06) */*/*/*%
5809.07) */*/*/*%
5809.08) */*/*/*%
5809.09) */*/*/*%
5809.10) */*/*/*%
5809.11) */*/*/*%
5809.12) */*/*/*%
5810.01) */*/*/*%
5810.02) */*/*/*%
5810.03) */*/*/*%
5810.04) */*/*/*%
5810.05) */*/*/*%
5810.06) */*/*/*%
5810.07) */*/*/*%
5810.08) */*/*/*%
5810.09) */*/*/*%
5810.10) */*/*/*%
5810.11) */*/*/*%
5810.12) */*/*/*%
5811.01) */*/*/*%
5811.02) */*/*/*%
5811.03) */*/*/*%
5811.04) */*/*/*%
5811.05) */*/*/*%
5811.06) */*/*/*%
5811.07) */*/*/*%
5811.08) */*/*/*%
5811.09) */*/*/*%
5811.10) */*/*/*%
5811.11) */*/*/*%
5811.12) */*/*/*%
5812.01) */*/*/*%
5812.02) */*/*/*%
5812.03) */*/*/*%
5812.04) */*/*/*%
5812.05) */*/*/*%
5812.06) */*/*/*%
5812.07) */*/*/*%
5812.08) */*/*/*%
5812.09) */*/*/*%
5812.10) */*/*/*%
5812.11) */*/*/*%
5812.12) */*/*/*%
5813.01) */*/*/*%
5813.02) */*/*/*%
5813.03) */*/*/*%
5813.04) */*/*/*%
5813.05) */*/*/*%
5813.06) */*/*/*%
5813.07) */*/*/*%
5813.08) */*/*/*%
5813.09) */*/*/*%
5813.10) */*/*/*%
5813.11) */*/*/*%
5813.12) */*/*/*%
5814.01) */*/*/*%
5814.02) */*/*/*%
5814.03) */*/*/*%
5814.04) */*/*/*%
5814.05) */*/*/*%
5814.06) */*/*/*%
5814.07) */*/*/*%
5814.08) */*/*/*%
5814.09) */*/*/*%
5814.10) */*/*/*%
5814.11) */*/*/*%
5814.12) */*/*/*%
5815.01) */*/*/*%
5815.02) */*/*/*%
5815.03) */*/*/*%
5815.04) */*/*/*%
5815.05) */*/*/*%
5815.06) */*/*/*%
5815.07) */*/*/*%
5815.08) */*/*/*%
5815.09) */*/*/*%
5815.10) */*/*/*%
5815.11) */*/*/*%
5815.12) */*/*/*%
5816.01) */*/*/*%
5816.02) */*/*/*%
5816.03) */*/*/*%
5816.04) */*/*/*%
5816.05) */*/*/*%
5816.06) */*/*/*%
5816.07) */*/*/*%
5816.08) */*/*/*%
5816.09) */*/*/*%
5816.10) */*/*/*%
5816.11) */*/*/*%
5816.12) */*/*/*%
5817.01) */*/*/*%
5817.02) */*/*/*%
5817.03) */*/*/*%
5817.04) */*/*/*%
5817.05) */*/*/*%
5817.06) */*/*/*%
5817.07) */*/*/*%
5817.08) */*/*/*%
5817.09) */*/*/*%
5817.10) */*/*/*%
5817.11) */*/*/*%
5817.12) */*/*/*%
5818.01) */*/*/*%
5818.02) */*/*/*%
5818.03) */*/*/*%
5818.04) */*/*/*%
5818.05) */*/*/*%
5818.06) */*/*/*%
5818.07) */*/*/*%
5818.08) */*/*/*%
5818.09) */*/*/*%
5818.10) */*/*/*%
5818.11) */*/*/*%
5818.12) */*/*/*%
5819.01) */*/*/*%
5819.02) */*/*/*%
5819.03) */*/*/*%
5819.04) */*/*/*%
5819.05) */*/*/*%
5819.06) */*/*/*%
5819.07) */*/*/*%
5819.08) */*/*/*%
5819.09) */*/*/*%
5819.10) */*/*/*%
5819.11) */*/*/*%
5819.12) */*/*/*%
5820.01) */*/*/*%
5820.02) */*/*/*%
5820.03) */*/*/*%
5820.04) */*/*/*%
5820.05) */*/*/*%
5820.06) */*/*/*%
5820.07) */*/*/*%
5820.08) */*/*/*%
5820.09) */*/*/*%
5820.10) */*/*/*%
5820.11) */*/*/*%
5820.12) */*/*/*%
5821.01) */*/*/*%
5821.02) */*/*/*%
5821.03) */*/*/*%
5821.04) */*/*/*%
5821.05) */*/*/*%
5821.06) */*/*/*%
5821.07) */*/*/*%
5821.08) */*/*/*%
5821.09) */*/*/*%
5821.10) */*/*/*%
5821.11) */*/*/*%
5821.12) */*/*/*%
5822.01) */*/*/*%
5822.02) */*/*/*%
5822.03) */*/*/*%
5822.04) */*/*/*%
5822.05) */*/*/*%
5822.06) */*/*/*%
5822.07) */*/*/*%
5822.08) */*/*/*%
5822.09) */*/*/*%
5822.10) */*/*/*%
5822.11) */*/*/*%
5822.12) */*/*/*%
5823.01) */*/*/*%
5823.02) */*/*/*%
5823.03) */*/*/*%
5823.04) */*/*/*%
5823.05) */*/*/*%
5823.06) */*/*/*%
5823.07) */*/*/*%
5823.08) */*/*/*%
5823.09) */*/*/*%
5823.10) */*/*/*%
5823.11) */*/*/*%
5823.12) */*/*/*%
5824.01) */*/*/*%
5824.02) */*/*/*%
5824.03) */*/*/*%
5824.04) */*/*/*%
5824.05) */*/*/*%
5824.06) */*/*/*%
5824.07) */*/*/*%
5824.08) */*/*/*%
5824.09) */*/*/*%
5824.10) */*/*/*%
5824.11) */*/*/*%
5824.12) */*/*/*%
5825.01) */*/*/*%
5825.02) */*/*/*%
5825.03) */*/*/*%
5825.04) */*/*/*%
5825.05) */*/*/*%
5825.06) */*/*/*%
5825.07) */*/*/*%
5825.08) */*/*/*%
5825.09) */*/*/*%
5825.10) */*/*/*%
5825.11) */*/*/*%
5825.12) */*/*/*%
5826.01) */*/*/*%
5826.02) */*/*/*%
5826.03) */*/*/*%
5826.04) */*/*/*%
5826.05) */*/*/*%
5826.06) */*/*/*%
5826.07) */*/*/*%
5826.08) */*/*/*%
5826.09) */*/*/*%
5826.10) */*/*/*%
5826.11) */*/*/*%
5826.12) */*/*/*%
5827.01) */*/*/*%
5827.02) */*/*/*%
5827.03) */*/*/*%
5827.04) */*/*/*%
5827.05) */*/*/*%
5827.06) */*/*/*%
5827.07) */*/*/*%
5827.08) */*/*/*%
5827.09) */*/*/*%
5827.10) */*/*/*%
5827.11) */*/*/*%
5827.12) */*/*/*%
5828.01) */*/*/*%
5828.02) */*/*/*%
5828.03) */*/*/*%
5828.04) */*/*/*%
5828.05) */*/*/*%
5828.06) */*/*/*%
5828.07) */*/*/*%
5828.08) */*/*/*%
5828.09) */*/*/*%
5828.10) */*/*/*%
5828.11) */*/*/*%
5828.12) */*/*/*%
5829.01) */*/*/*%
5829.02) */*/*/*%
5829.03) */*/*/*%
5829.04) */*/*/*%
5829.05) */*/*/*%
5829.06) */*/*/*%
5829.07) */*/*/*%
5829.08) */*/*/*%
5829.09) */*/*/*%
5829.10) */*/*/*%
5829.11) */*/*/*%
5829.12) */*/*/*%
5830.01) */*/*/*%
5830.02) */*/*/*%
5830.03) */*/*/*%
5830.04) */*/*/*%
5830.05) */*/*/*%
5830.06) */*/*/*%
5830.07) */*/*/*%
5830.08) */*/*/*%
5830.09) */*/*/*%
5830.10) */*/*/*%
5830.11) */*/*/*%
5830.12) */*/*/*%
5831.01) */*/*/*%
5831.02) */*/*/*%
5831.03) */*/*/*%
5831.04) */*/*/*%
5831.05) */*/*/*%
5831.06) */*/*/*%
5831.07) */*/*/*%
5831.08) */*/*/*%
5831.09) */*/*/*%
5831.10) */*/*/*%
5831.11) */*/*/*%
5831.12) */*/*/*%
5832.01) */*/*/*%
5832.02) */*/*/*%
5832.03) */*/*/*%
5832.04) */*/*/*%
5832.05) */*/*/*%
5832.06) */*/*/*%
5832.07) */*/*/*%
5832.08) */*/*/*%
5832.09) */*/*/*%
5832.10) */*/*/*%
5832.11) */*/*/*%
5832.12) */*/*/*%
5833.01) */*/*/*%
5833.02) */*/*/*%
5833.03) */*/*/*%
5833.04) */*/*/*%
5833.05) */*/*/*%
5833.06) */*/*/*%
5833.07) */*/*/*%
5833.08) */*/*/*%
5833.09) */*/*/*%
5833.10) */*/*/*%
5833.11) */*/*/*%
5833.12) */*/*/*%
5834.01) */*/*/*%
5834.02) */*/*/*%
5834.03) */*/*/*%
5834.04) */*/*/*%
5834.05) */*/*/*%
5834.06) */*/*/*%
5834.07) */*/*/*%
5834.08) */*/*/*%
5834.09) */*/*/*%
5834.10) */*/*/*%
5834.11) */*/*/*%
5834.12) */*/*/*%
5835.01) */*/*/*%
5835.02) */*/*/*%
5835.03) */*/*/*%
5835.04) */*/*/*%
5835.05) */*/*/*%
5835.06) */*/*/*%
5835.07) */*/*/*%
5835.08) */*/*/*%
5835.09) */*/*/*%
5835.10) */*/*/*%
5835.11) */*/*/*%
5835.12) */*/*/*%
5836.01) */*/*/*%
5836.02) */*/*/*%
5836.03) */*/*/*%
5836.04) */*/*/*%
5836.05) */*/*/*%
5836.06) */*/*/*%
5836.07) */*/*/*%
5836.08) */*/*/*%
5836.09) */*/*/*%
5836.10) */*/*/*%
5836.11) */*/*/*%
5836.12) */*/*/*%
5837.01) */*/*/*%
5837.02) */*/*/*%
5837.03) */*/*/*%
5837.04) */*/*/*%
5837.05) */*/*/*%
5837.06) */*/*/*%
5837.07) */*/*/*%
5837.08) */*/*/*%
5837.09) */*/*/*%
5837.10) */*/*/*%
5837.11) */*/*/*%
5837.12) */*/*/*%
5838.01) */*/*/*%
5838.02) */*/*/*%
5838.03) */*/*/*%
5838.04) */*/*/*%
5838.05) */*/*/*%
5838.06) */*/*/*%
5838.07) */*/*/*%
5838.08) */*/*/*%
5838.09) */*/*/*%
5838.10) */*/*/*%
5838.11) */*/*/*%
5838.12) */*/*/*%
5839.01) */*/*/*%
5839.02) */*/*/*%
5839.03) */*/*/*%
5839.04) */*/*/*%
5839.05) */*/*/*%
5839.06) */*/*/*%
5839.07) */*/*/*%
5839.08) */*/*/*%
5839.09) */*/*/*%
5839.10) */*/*/*%
5839.11) */*/*/*%
5839.12) */*/*/*%
5840.01) */*/*/*%
5840.02) */*/*/*%
5840.03) */*/*/*%
5840.04) */*/*/*%
5840.05) */*/*/*%
5840.06) */*/*/*%
5840.07) */*/*/*%
5840.08) */*/*/*%
5840.09) */*/*/*%
5840.10) */*/*/*%
5840.11) */*/*/*%
5840.12) */*/*/*%
5841.01) */*/*/*%
5841.02) */*/*/*%
5841.03) */*/*/*%
5841.04) */*/*/*%
5841.05) */*/*/*%
5841.06) */*/*/*%
5841.07) */*/*/*%
5841.08) */*/*/*%
5841.09) */*/*/*%
5841.10) */*/*/*%
5841.11) */*/*/*%
5841.12) */*/*/*%
5842.01) */*/*/*%
5842.02) */*/*/*%
5842.03) */*/*/*%
5842.04) */*/*/*%
5842.05) */*/*/*%
5842.06) */*/*/*%
5842.07) */*/*/*%
5842.08) */*/*/*%
5842.09) */*/*/*%
5842.10) */*/*/*%
5842.11) */*/*/*%
5842.12) */*/*/*%
5843.01) */*/*/*%
5843.02) */*/*/*%
5843.03) */*/*/*%
5843.04) */*/*/*%
5843.05) */*/*/*%
5843.06) */*/*/*%
5843.07) */*/*/*%
5843.08) */*/*/*%
5843.09) */*/*/*%
5843.10) */*/*/*%
5843.11) */*/*/*%
5843.12) */*/*/*%
5844.01) */*/*/*%
5844.02) */*/*/*%
5844.03) */*/*/*%
5844.04) */*/*/*%
5844.05) */*/*/*%
5844.06) */*/*/*%
5844.07) */*/*/*%
5844.08) */*/*/*%
5844.09) */*/*/*%
5844.10) */*/*/*%
5844.11) */*/*/*%
5844.12) */*/*/*%
5845.01) */*/*/*%
5845.02) */*/*/*%
5845.03) */*/*/*%
5845.04) */*/*/*%
5845.05) */*/*/*%
5845.06) */*/*/*%
5845.07) */*/*/*%
5845.08) */*/*/*%
5845.09) */*/*/*%
5845.10) */*/*/*%
5845.11) */*/*/*%
5845.12) */*/*/*%
5846.01) */*/*/*%
5846.02) */*/*/*%
5846.03) */*/*/*%
5846.04) */*/*/*%
5846.05) */*/*/*%
5846.06) */*/*/*%
5846.07) */*/*/*%
5846.08) */*/*/*%
5846.09) */*/*/*%
5846.10) */*/*/*%
5846.11) */*/*/*%
5846.12) */*/*/*%
5847.01) */*/*/*%
5847.02) */*/*/*%
5847.03) */*/*/*%
5847.04) */*/*/*%
5847.05) */*/*/*%
5847.06) */*/*/*%
5847.07) */*/*/*%
5847.08) */*/*/*%
5847.09) */*/*/*%
5847.10) */*/*/*%
5847.11) */*/*/*%
5847.12) */*/*/*%
5848.01) */*/*/*%
5848.02) */*/*/*%
5848.03) */*/*/*%
5848.04) */*/*/*%
5848.05) */*/*/*%
5848.06) */*/*/*%
5848.07) */*/*/*%
5848.08) */*/*/*%
5848.09) */*/*/*%
5848.10) */*/*/*%
5848.11) */*/*/*%
5848.12) */*/*/*%
5849.01) */*/*/*%
5849.02) */*/*/*%
5849.03) */*/*/*%
5849.04) */*/*/*%
5849.05) */*/*/*%
5849.06) */*/*/*%
5849.07) */*/*/*%
5849.08) */*/*/*%
5849.09) */*/*/*%
5849.10) */*/*/*%
5849.11) */*/*/*%
5849.12) */*/*/*%
5850.01) */*/*/*%
5850.02) */*/*/*%
5850.03) */*/*/*%
5850.04) */*/*/*%
5850.05) */*/*/*%
5850.06) */*/*/*%
5850.07) */*/*/*%
5850.08) */*/*/*%
5850.09) */*/*/*%
5850.10) */*/*/*%
5850.11) */*/*/*%
5850.12) */*/*/*%
5851.01) */*/*/*%
5851.02) */*/*/*%
5851.03) */*/*/*%
5851.04) */*/*/*%
5851.05) */*/*/*%
5851.06) */*/*/*%
5851.07) */*/*/*%
5851.08) */*/*/*%
5851.09) */*/*/*%
5851.10) */*/*/*%
5851.11) */*/*/*%
5851.12) */*/*/*%
5852.01) */*/*/*%
5852.02) */*/*/*%
5852.03) */*/*/*%
5852.04) */*/*/*%
5852.05) */*/*/*%
5852.06) */*/*/*%
5852.07) */*/*/*%
5852.08) */*/*/*%
5852.09) */*/*/*%
5852.10) */*/*/*%
5852.11) */*/*/*%
5852.12) */*/*/*%
5853.01) */*/*/*%
5853.02) */*/*/*%
5853.03) */*/*/*%
5853.04) */*/*/*%
5853.05) */*/*/*%
5853.06) */*/*/*%
5853.07) */*/*/*%
5853.08) */*/*/*%
5853.09) */*/*/*%
5853.10) */*/*/*%
5853.11) */*/*/*%
5853.12) */*/*/*%
5854.01) */*/*/*%
5854.02) */*/*/*%
5854.03) */*/*/*%
5854.04) */*/*/*%
5854.05) */*/*/*%
5854.06) */*/*/*%
5854.07) */*/*/*%
5854.08) */*/*/*%
5854.09) */*/*/*%
5854.10) */*/*/*%
5854.11) */*/*/*%
5854.12) */*/*/*%
5855.01) */*/*/*%
5855.02) */*/*/*%
5855.03) */*/*/*%
5855.04) */*/*/*%
5855.05) */*/*/*%
5855.06) */*/*/*%
5855.07) */*/*/*%
5855.08) */*/*/*%
5855.09) */*/*/*%
5855.10) */*/*/*%
5855.11) */*/*/*%
5855.12) */*/*/*%
5856.01) */*/*/*%
5856.02) */*/*/*%
5856.03) */*/*/*%
5856.04) */*/*/*%
5856.05) */*/*/*%
5856.06) */*/*/*%
5856.07) */*/*/*%
5856.08) */*/*/*%
5856.09) */*/*/*%
5856.10) */*/*/*%
5856.11) */*/*/*%
5856.12) */*/*/*%
5857.01) */*/*/*%
5857.02) */*/*/*%
5857.03) */*/*/*%
5857.04) */*/*/*%
5857.05) */*/*/*%
5857.06) */*/*/*%
5857.07) */*/*/*%
5857.08) */*/*/*%
5857.09) */*/*/*%
5857.10) */*/*/*%
5857.11) */*/*/*%
5857.12) */*/*/*%
5858.01) */*/*/*%
5858.02) */*/*/*%
5858.03) */*/*/*%
5858.04) */*/*/*%
5858.05) */*/*/*%
5858.06) */*/*/*%
5858.07) */*/*/*%
5858.08) */*/*/*%
5858.09) */*/*/*%
5858.10) */*/*/*%
5858.11) */*/*/*%
5858.12) */*/*/*%
5859.01) */*/*/*%
5859.02) */*/*/*%
5859.03) */*/*/*%
5859.04) */*/*/*%
5859.05) */*/*/*%
5859.06) */*/*/*%
5859.07) */*/*/*%
5859.08) */*/*/*%
5859.09) */*/*/*%
5859.10) */*/*/*%
5859.11) */*/*/*%
5859.12) */*/*/*%
5860.01) */*/*/*%
5860.02) */*/*/*%
5860.03) */*/*/*%
5860.04) */*/*/*%
5860.05) */*/*/*%
5860.06) */*/*/*%
5860.07) */*/*/*%
5860.08) */*/*/*%
5860.09) */*/*/*%
5860.10) */*/*/*%
5860.11) */*/*/*%
